2025-09-21,15:25:40.63,1545.188,0.01,008.05
2025-09-21,15:25:50.13,1543.344,0.99,008.05
2025-09-21,15:25:55.25,1543.108,1.99,008.05
2025-09-21,15:26:00.83,1542.770,2.96,008.05
2025-09-21,15:26:04.75,1542.254,3.97,008.05
2025-09-21,15:26:08.19,1542.206,4.94,008.05
2025-09-21,15:26:11.23,1542.165,5.93,008.05
2025-09-21,15:26:14.18,1542.179,6.92,008.05
2025-09-21,15:26:17.29,1542.217,7.92,008.05
2025-09-21,15:26:19.87,1542.243,8.90,008.05
2025-09-21,15:26:22.73,1542.223,9.88,008.05
2025-09-21,15:26:25.72,1541.911,10.90,008.05
2025-09-21,15:26:29.22,1541.882,11.92,008.05
2025-09-21,15:26:32.34,1541.741,12.91,008.05
2025-09-21,15:26:36.69,1541.718,13.88,008.05
2025-09-21,15:27:14.92,1541.730,14.87,008.05
2025-09-21,15:27:18.98,1541.735,15.84,008.05
2025-09-21,15:27:22.95,1541.745,16.85,008.05
2025-09-21,15:27:26.77,1541.790,17.83,008.05
2025-09-21,15:27:30.81,1541.865,18.81,008.05
2025-09-21,15:27:34.63,1541.880,19.79,008.05
2025-09-21,15:27:53.00,1541.885,20.77,008.05
2025-09-21,15:27:59.53,1541.874,21.77,008.05
2025-09-21,15:28:02.57,1541.896,22.75,008.05
2025-09-21,15:28:04.22,1541.923,23.74,008.05
2025-09-21,15:28:06.54,1541.922,24.71,008.05
2025-09-21,15:28:08.95,1541.943,25.70,008.05
2025-09-21,15:28:14.37,1541.938,26.68,008.05
2025-09-21,15:34:44.14,1541.988,27.65,008.05
2025-09-21,15:34:53.24,1542.006,28.64,008.05
2025-09-21,15:34:57.91,1541.950,29.62,008.05
2025-09-21,15:35:00.19,1541.875,30.62,008.05
2025-09-21,15:35:03.21,1541.856,31.61,008.05
2025-09-21,15:35:08.37,1541.870,32.59,008.05
2025-09-21,15:35:34.26,1541.857,31.60,008.05
2025-09-21,15:35:36.47,1541.871,30.62,008.05
2025-09-21,15:35:38.56,1541.893,29.62,008.05
2025-09-21,15:35:41.20,1541.972,28.64,008.05
2025-09-21,15:35:43.62,1541.981,27.65,008.05
2025-09-21,15:35:45.46,1541.973,26.67,008.05
2025-09-21,15:35:46.72,1541.969,25.68,008.05
2025-09-21,15:35:48.56,1541.975,24.69,008.05
2025-09-21,15:35:50.39,1541.978,23.68,008.05
2025-09-21,15:35:51.92,1541.972,22.69,008.05
2025-09-21,15:35:53.92,1541.970,21.70,008.05
2025-09-21,15:35:55.77,1541.983,20.70,008.05
2025-09-21,15:35:57.40,1541.963,19.72,008.05
2025-09-21,15:35:59.02,1541.958,18.72,008.05
2025-09-21,15:36:00.94,1541.938,17.73,008.05
2025-09-21,15:36:02.42,1541.938,16.74,008.05
2025-09-21,15:36:04.50,1541.947,15.75,008.05
2025-09-21,15:36:05.83,1541.941,14.77,008.05
2025-09-21,15:36:07.50,1541.908,13.77,008.05
2025-09-21,15:36:10.25,1541.894,12.79,008.05
2025-09-21,15:36:11.34,1541.862,11.79,008.05
2025-09-21,15:36:13.43,1541.846,10.81,008.05
2025-09-21,15:36:14.60,1541.868,9.82,008.05
2025-09-21,15:36:16.94,1541.839,8.82,008.05
2025-09-21,15:36:19.57,1541.866,7.83,008.05
2025-09-21,15:36:21.67,1541.924,6.83,008.05
2025-09-21,15:36:23.28,1542.013,5.85,008.05
2025-09-21,15:36:25.64,1542.028,4.85,008.05
2025-09-21,15:36:27.00,1542.093,3.88,008.05
2025-09-21,15:36:29.83,1542.586,2.88,008.05
