2025-09-26,10:48:14.94,1542.515,0001.01,007.85
2025-09-26,10:48:28.20,1542.632,0002.00,007.85
2025-09-26,10:48:29.19,1542.603,0002.99,007.85
2025-09-26,10:48:30.88,1542.497,0004.01,007.85
2025-09-26,10:48:33.11,1542.435,0005.03,007.85
2025-09-26,10:48:35.73,1542.405,0006.02,007.85
2025-09-26,10:48:38.32,1542.420,0007.01,007.85
2025-09-26,10:48:39.74,1542.465,0008.01,007.85
2025-09-26,10:48:40.92,1542.556,0009.01,007.85
2025-09-26,10:48:43.19,1542.499,0010.00,007.85
2025-09-26,10:48:46.89,1542.510,0011.00,007.85
2025-09-26,10:48:47.68,1542.533,0012.01,007.85
2025-09-26,10:48:50.02,1542.550,0013.00,007.85
2025-09-26,10:48:51.79,1542.564,0014.01,007.85
2025-09-26,10:48:54.35,1542.576,0015.00,007.85
2025-09-26,10:49:01.73,1542.581,0015.99,007.85
2025-09-26,10:49:03.01,1542.609,0016.98,007.85
2025-09-26,10:49:04.22,1542.616,0017.98,007.85
2025-09-26,10:49:05.44,1542.641,0018.98,007.85
2025-09-26,10:49:06.67,1542.678,0019.96,007.85
2025-09-26,10:49:09.33,1542.684,0020.95,007.85
2025-09-26,10:49:16.88,1542.687,0021.94,007.85
2025-09-26,10:49:18.02,1542.704,0022.93,007.85
2025-09-26,10:50:09.12,1542.685,0021.93,007.85
2025-09-26,10:50:12.08,1542.675,0020.93,007.85
2025-09-26,10:50:16.58,1542.645,0019.94,007.85
2025-09-26,10:50:27.59,1542.628,0018.94,007.85
2025-09-26,10:50:30.19,1542.627,0017.95,007.85
2025-09-26,10:50:31.59,1542.616,0016.97,007.85
2025-09-26,10:50:33.32,1542.625,0015.98,007.85
2025-09-26,10:50:35.29,1542.598,0014.98,007.85
2025-09-26,10:50:38.11,1542.581,0013.99,007.85
2025-09-26,10:50:40.14,1542.580,0012.99,007.85
2025-09-26,10:50:41.64,1542.548,0011.97,007.85
2025-09-26,10:50:43.21,1542.527,0010.98,007.85
2025-09-26,10:50:44.80,1542.506,0009.99,007.85
2025-09-26,10:50:46.02,1542.492,0008.99,007.85
2025-09-26,10:50:47.56,1542.461,0007.98,007.85
2025-09-26,10:50:49.81,1542.454,0006.99,007.85
2025-09-26,10:50:52.12,1542.445,0005.99,007.85
2025-09-26,10:50:54.88,1542.488,0005.01,007.85
2025-09-26,10:51:00.69,1542.397,0004.01,007.85
2025-09-26,10:51:04.54,1542.385,0003.02,007.85
2025-09-26,10:51:06.14,1542.602,0002.03,007.85
2025-09-26,10:51:07.97,1542.735,0001.02,007.85
